,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
494,301372,room with very nice view in Brooklyn,1294674,Alex,Brooklyn,Fort Greene,40.6857,-73.97388,Private room,45,30,28,11/01/20,0.54,1,0
495,302238,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,1556814,Tammy,Manhattan,Harlem,40.80752,-73.94778,Entire home/apt,395,30,7,12/10/20,0.06,10,338
496,302280,FABULOUS 1 BEDROOM IN MANHATTAN,1556814,Tammy,Manhattan,Harlem,40.8058,-73.94759,Entire home/apt,250,30,8,22/08/20,0.15,10,247
497,302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,1556814,Tammy,Manhattan,Harlem,40.80528,-73.94742,Entire home/apt,395,30,5,05/10/20,0.04,10,337
498,302705,Wonderful Room on the UES 2,1439222,Virginia,Manhattan,Upper East Side,40.77298,-73.95813,Private room,60,30,1,11/01/20,0.04,1,267
499,303264,FABULOUS & LARGE 2 BEDROOM IN NYC!,1556814,Tammy,Manhattan,Harlem,40.8073,-73.94575,Entire home/apt,395,30,7,08/10/12,0.06,10,338
501,305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,1556814,Tammy,Manhattan,Harlem,40.80557,-73.94801,Entire home/apt,395,30,9,11/06/13,0.09,10,337
506,311316,Welcome to Harlem New York,1601454,Conrad,Manhattan,Harlem,40.80193,-73.95098,Private room,149,30,0,,,2,358
508,312415,Cool! Your Own Times Square Room!,1606133,George,Manhattan,Theater District,40.75672,-73.99003,Private room,104,4,59,26/12/16,0.66,1,61
513,319646,Bright and Cosy 2 Bedroom apt,1209728,Ashraf,Queens,Bayside,40.75537,-73.77159,Entire home/apt,100,3,1,08/11/21,1.0,1,332
520,323453,Brooklyn Design Loft,1118296,Nicole,Brooklyn,Williamsburg,40.70571,-73.93284,Entire home/apt,225,30,65,03/10/21,1.36,1,63
526,328788,Private Room in Williamsburg Loft!,1679238,Viveca,Brooklyn,Bedford-Stuyvesant,40.69897,-73.95002,Private room,70,2,94,25/09/21,0.81,3,0
542,363016,2 bdrm  Entire Furnished Apt.  (R),1834769,Debbie,Queens,Maspeth,40.72678,-73.90448,Entire home/apt,134,30,3,01/10/17,0.03,2,365
544,365439,cozy SoHo apt-great location,959239,Nancy,Manhattan,SoHo,40.72458,-74.00343,Private room,80,30,26,21/10/16,0.3,1,365
546,369409,TRAVELERS OASIS IN MID-TOWN MANHATTAN,1190019,Penny,Manhattan,Midtown,40.75822,-73.96329,Private room,57,30,220,31/10/21,1.9,1,285
555,386507,"Stylish, Cool Apt in Harlem",1934317,Serebe,Manhattan,Harlem,40.80872,-73.94327,Shared room,150,30,5,07/12/15,0.04,1,362
567,398850,One-Bedroom/Madison Square Garden,434632,Sonya,Manhattan,Chelsea,40.74854,-73.99626,Entire home/apt,275,30,47,21/06/16,0.54,2,364
571,403712,SUPER APARTMENT GREAT AREA EV!!!,528594,Giovanni,Manhattan,East Village,40.72968,-73.98687,Entire home/apt,300,30,6,25/09/12,0.05,1,365
587,423015,"Cozy Private One Bedroom, Brooklyn",1530310,Jacques,Brooklyn,Bedford-Stuyvesant,40.68877,-73.95408,Private room,35,20,36,30/09/19,0.4,4,91
588,423275,Cozy & SPacious in d heart Astoria,2105276,Leo,Queens,Astoria,40.76456,-73.91749,Entire home/apt,150,30,45,14/12/18,0.43,1,363
589,424870,"Charming Home, Best West Village St",2076206,Dan,Manhattan,West Village,40.73615,-74.00713,Entire home/apt,176,30,43,24/10/16,0.62,1,364
590,425643,Amazing Views Over Central Park,2116067,Jesselyn,Manhattan,Upper West Side,40.79634,-73.96454,Entire home/apt,400,30,0,,,1,335
630,463042,Stylish 1BR in the heart of Nolita,1333948,Yasemin,Manhattan,SoHo,40.72371,-73.99663,Entire home/apt,220,3,60,02/10/21,0.66,1,198
633,465706,West Side-C Park-Columbia Convenient & Quiet,718349,B.,Manhattan,Upper West Side,40.79903,-73.96297,Entire home/apt,169,3,6,25/02/21,0.42,2,254
662,492785,RENOVATED SUNNY LARGE 1 BD WITH ART,2435392,Michelle,Brooklyn,Clinton Hill,40.68657,-73.96262,Entire home/apt,250,30,72,21/08/16,0.68,1,331
663,492810,The Tudor Apartment - 2 Bedroom,2435523,Amy,Queens,Bayside,40.76763,-73.77003,Entire home/apt,125,30,7,01/04/20,0.27,1,0
670,499249,"WILLIAMSBURG FOR 25 DAYS, CHEAP!",2463894,Alex,Brooklyn,Williamsburg,40.70528,-73.95756,Private room,190,30,1,28/06/12,0.01,1,0
671,499763,PinkBerry Room w Bath In Heart Of Hells Kitchen,361254,Kyra,Manhattan,Hell's Kitchen,40.76448,-73.98667,Private room,60,90,0,,,1,362
683,505581,Stylish Manhattan North Apartment,2492533,Genevieve,Manhattan,Harlem,40.80009,-73.95107,Entire home/apt,75,30,22,07/08/21,0.22,1,49
684,508372,3 Bdrm Bright Chelsea Loft,2505460,Anna Maria,Manhattan,Chelsea,40.74778,-73.99579,Entire home/apt,250,3,9,29/12/19,0.08,1,0
705,528615,West Village Haven,2597207,John,Manhattan,West Village,40.73112,-74.00292,Entire home/apt,207,30,1,23/05/15,0.01,1,0
729,552502,"Private Bedroom, Bath & Books in Brooklyn",2714897,Trista,Brooklyn,Crown Heights,40.67808,-73.9573,Private room,92,30,16,21/10/21,0.14,1,30
736,564649,Sunny Unique Gramercy Glass Loft,2777118,Mario,Manhattan,Kips Bay,40.73864,-73.98187,Entire home/apt,200,30,39,03/12/18,0.46,1,105
739,567075,"MidtownEast,Furnished, Large,Sunny",2789557,Nik,Manhattan,Upper East Side,40.76002,-73.95998,Private room,98,30,25,26/08/21,0.5,1,334
743,569255,Red Hook Modern,61531,David,Brooklyn,Red Hook,40.67911,-74.01119,Entire home/apt,148,30,45,31/05/21,0.48,1,0
746,570797,Room for Two in Midtown West,1900800,Grisel,Manhattan,Hell's Kitchen,40.76119,-73.99225,Private room,65,30,19,24/10/21,0.17,2,362
753,577243,Authentic Greenpoint-2 Private Rooms,2838861,Ryan,Brooklyn,Greenpoint,40.73209,-73.95861,Private room,48,30,22,31/10/21,0.24,2,45
756,579251,Airy apt in classic brownstone 1 minute to J train,388608,Alan,Brooklyn,Bushwick,40.69174,-73.92276,Entire home/apt,125,30,27,14/03/20,1.27,1,0
769,592282,Downtown Modern Artist Apartment,2923714,Jeremy,Manhattan,Civic Center,40.71354,-74.00119,Entire home/apt,175,30,9,29/11/21,0.1,1,150
778,600427,NICE COZY ROOM AT STEPS TO SUBWAY,2970247,Stella,Brooklyn,Clinton Hill,40.68247,-73.96524,Private room,34,60,3,22/08/13,0.48,1,158
782,604204,Sweet apt in Prospect Heights BK NY,2990829,Geoffrey,Brooklyn,Prospect Heights,40.68098,-73.96604,Entire home/apt,400,30,6,01/12/20,0.06,1,0
791,616249,"Sunny, Quiet, 2 bedroom apartment",3054174,Diane,Brooklyn,Sunset Park,40.65724,-73.99919,Entire home/apt,88,30,9,31/01/20,0.08,1,0
793,619144,Central Park View From High Floor,1028165,Yuichi,Manhattan,Hell's Kitchen,40.76691,-73.98361,Shared room,2000,30,2,20/07/13,0.02,1,365
804,637426,Great 1br East Village Apartment,1993811,Elon,Manhattan,East Village,40.72299,-73.98838,Entire home/apt,160,14,0,,,1,0
806,637510,Best of Bushwick - Studio - L train,3179866,Gonzalo And Nora,Brooklyn,Bushwick,40.70097,-73.91359,Entire home/apt,80,30,2,05/11/21,0.62,7,353
807,637641,Convenient to Manhattan,3181056,Sylvia,Staten Island,Tompkinsville,40.63264,-74.08624,Entire home/apt,86,365,8,14/05/14,0.07,1,358
812,640899,Country Blues,165045,Sankofa,Brooklyn,Bedford-Stuyvesant,40.68228,-73.94645,Private room,110,30,0,,,3,0
813,640901,Havanna Brown Room,165045,Sankofa,Brooklyn,Bedford-Stuyvesant,40.68053,-73.9479,Private room,150,30,0,,,3,0
814,640908,Purple Haze Room,165045,Sankofa,Brooklyn,Bedford-Stuyvesant,40.68273,-73.94617,Private room,150,30,0,,,3,0
818,643877,Spacious 2BD in lovely Ditmas Park,731352,Krishna,Brooklyn,Flatbush,40.63359,-73.96525,Entire home/apt,200,31,16,29/12/17,0.19,1,157
831,649972,Large 1BD in Downtown NYC. New elevator building.,808068,Sebastian,Manhattan,Lower East Side,40.71799,-73.99213,Entire home/apt,199,30,0,,,1,0
833,651438,Sunny 1 Bedroom Garden Apartment,3044041,Simme,Brooklyn,Bedford-Stuyvesant,40.68669,-73.94198,Entire home/apt,115,3,36,10/10/21,0.42,1,331
838,655811,DREAM ARTIST LOFT ON EAST RIVER!,3512478,Winkel,Brooklyn,DUMBO,40.70283,-73.98879,Private room,64,30,10,19/09/13,0.09,1,0
846,659443,Private Room in Upper West Side,1696802,Carlos,Manhattan,Upper West Side,40.79561,-73.96981,Private room,80,30,0,,,1,358
855,666676,Bedroom in charming apartment,3371222,Ylva,Manhattan,Harlem,40.8254,-73.95042,Private room,85,30,5,01/11/16,0.08,1,250
857,667502,Elegant 2 BRs Washington Heights!,2390260,Al,Manhattan,Washington Heights,40.85234,-73.93822,Entire home/apt,150,31,94,05/02/20,0.91,1,365
859,669640,Sun Peace Beauty Gr8 Location Cafes Train Park,3364674,Rachel,Brooklyn,Park Slope,40.67646,-73.97875,Private room,72,30,23,29/09/18,0.2,1,337
864,681599,1 Affordable and cozy in Sunset Park,1182180,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.65043,-74.00387,Private room,46,30,45,24/08/21,0.41,4,188
870,688184,Cozy bedroom in quiet Midtown apt,3512827,Aeisha,Manhattan,Hell's Kitchen,40.76579,-73.99275,Private room,60,30,0,,,1,365
878,692468,Luxury Apartment Room Near Time SQ,3540769,Akintunde,Manhattan,Hell's Kitchen,40.7605,-73.99914,Private room,225,30,1,17/10/12,0.01,1,365
881,695786,Great brand new 1 bed apt Times sq,914838,Lior,Manhattan,Hell's Kitchen,40.75617,-73.99569,Entire home/apt,154,30,11,26/09/14,0.13,8,364
895,707658,Elegant New apt in Lower East Side,3619590,Eva,Manhattan,Lower East Side,40.71662,-73.9802,Entire home/apt,195,30,19,30/05/14,0.18,1,63
904,717582,2 bedroom in Clinton Hill!,3699733,Caroline & Charlie,Brooklyn,Clinton Hill,40.68343,-73.9603,Entire home/apt,155,30,3,26/10/12,0.03,1,0
919,737496,The Best location In New York City.,3922831,Serra,Manhattan,Midtown,40.74996,-73.98334,Entire home/apt,160,30,4,24/08/13,0.04,3,363
924,741712,Studio apt in BEST location!!,3882661,Ms,Manhattan,Gramercy,40.7335,-73.98704,Entire home/apt,75,30,1,02/03/13,0.01,3,0
927,746393,Stay with me in my apartment,3916340,Roberto,Manhattan,Harlem,40.80571,-73.94672,Private room,275,4,74,09/07/21,0.71,1,362
932,748118,HUGE Modern Duplex BEST Location,3921565,Eleonora,Brooklyn,Greenpoint,40.73735,-73.95351,Entire home/apt,175,2,93,05/09/21,0.84,1,165
933,749276,2 Bdrm Great Bushwick apartment #1,2413714,Wilfredo,Brooklyn,Bushwick,40.69266,-73.90362,Entire home/apt,160,30,124,08/11/20,1.34,2,365
944,755477,Spacious-Convenient-Serviced-Safe-Quiet - UES Apt,839626,David,Manhattan,Upper East Side,40.78008,-73.95054,Entire home/apt,150,30,2,27/05/13,0.02,1,0
947,758919,Sexy in the City - Best Block in NY,3999634,Jonathan,Manhattan,West Village,40.73464,-74.00349,Entire home/apt,500,30,2,01/06/13,0.02,1,173
948,759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,40.8666,-73.85532,Private room,85,30,42,10/08/19,0.42,2,279
953,762426,Master Bedroom with bath overlooking Central Park,3799199,Jackie,Manhattan,Upper West Side,40.7988,-73.96113,Private room,100,30,15,31/07/21,0.14,1,138
