,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27834,45543201,Charming sun-filled Brooklyn apartment with office,78659736,Richard,Brooklyn,Gowanus,40.67347,-73.99088,Entire home/apt,170,30,4,22/08/21,0.34,1,0
27835,45543348,Sonder | Battery Park | One-Bedroom Apartment w/ Peloton,219517861,Sonder (NYC),Manhattan,Financial District,40.70651,-74.01469,Entire home/apt,496,2,6,18/11/21,0.5,49,334
27836,45543400,THE COZY SPACE,265576141,Sharon,Queens,Rockaway Beach,40.58981,-73.81195,Private room,45,5,0,,,2,337
27837,45543458,Large Relaxing NYC Paradise HOME 6beds,17429459,Michaela,Manhattan,Chelsea,40.74052,-73.99953,Entire home/apt,600,30,0,,,1,365
27838,45543723,Private Bathroom in Queens,334163301,Soya,Queens,Elmhurst,40.73864,-73.87713,Private room,39,30,0,,,160,0
27839,45546689,Sunny Apartment in the heart of Greenpoint,39762329,Stephanie,Brooklyn,Greenpoint,40.72802,-73.9531,Entire home/apt,109,20,4,01/10/21,0.34,1,0
27840,45547297,Studio in a Brand New Building,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76526,-73.98867,Entire home/apt,102,30,2,12/06/21,0.29,177,329
27841,45547548,Two bedroom apartment in Midtown West,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76545,-73.98847,Entire home/apt,150,30,3,18/07/21,0.28,177,261
27842,45548264,"2-Bedroom, East Village",25592253,Natasha,Manhattan,East Village,40.72542,-73.97981,Entire home/apt,250,3,1,31/01/21,0.1,3,174
27843,45552171,PRIME Location! Semi-Private Space B,306300745,Ian,Manhattan,Chelsea,40.7458,-73.99142,Private room,51,3,3,31/12/20,0.31,4,2
27844,45556429,2 br apartment with terrace close to Manhattan,22821442,Olga,Queens,Astoria,40.76301,-73.92738,Entire home/apt,150,3,1,25/10/20,0.07,1,51
27845,45557476,Private Room for 2,368629649,Erick,Queens,Astoria,40.76238,-73.92096,Private room,200,1,0,,,1,180
27846,45557629,Special opportunity in top New York neighbourhood,4199653,Jennifer,Manhattan,Upper East Side,40.78063,-73.95273,Entire home/apt,155,10,2,21/07/21,0.28,1,125
27847,45558124,Spacious Private Room Central Park & Columbia,347548987,Sergii & Vlada,Manhattan,Harlem,40.80519,-73.95594,Private room,55,30,1,21/06/21,0.18,10,350
27848,45558214,"Cozy, Hidden, Bright and Stylish 1 Bedroom",518821,Cassandra,Brooklyn,Flatlands,40.61673,-73.92747,Entire home/apt,112,1,96,23/11/21,6.73,1,153
27849,45559622,Amazing one bedroom  in Williasmburg  w backyard,24191602,Martin,Brooklyn,Williamsburg,40.7138,-73.96399,Private room,110,60,1,24/11/20,0.08,2,37
27850,45561535,Nice room in Huge apartment,37883321,Lionel,Brooklyn,Bedford-Stuyvesant,40.68698,-73.94375,Private room,50,30,1,14/01/21,0.09,4,181
27851,45562289,Plant-filled Brooklyn Brownstone Apartment,26633737,Liz,Brooklyn,Bedford-Stuyvesant,40.69575,-73.94872,Entire home/apt,80,14,3,31/01/21,0.24,1,0
27852,45565875,"Stunning, Spacious Sanctuary in Greenpoint",9962257,Erika & Brett,Brooklyn,Greenpoint,40.72751,-73.95694,Entire home/apt,745,5,5,28/11/21,0.4,2,72
27853,45565991,"INDEPENDENT WORK STUDY, OFFICE SPACE, WORK SPACE",122567847,Racqueal,Brooklyn,East Flatbush,40.65214,-73.91714,Private room,40,1,0,,,1,232
27854,45569427,Private space in Nolita,208975280,Loc,Manhattan,Nolita,40.72197,-73.99612,Private room,110,1,1,20/01/21,0.09,1,0
27855,45573339,Modern Studio Apartment,21130089,Rony,Bronx,Morris Heights,40.85504,-73.91738,Entire home/apt,112,2,10,22/08/21,4.17,4,78
27856,45578483,Wyndham Midtown 45 at New York City,368146547,Deborah,Manhattan,Midtown,40.75174,-73.97278,Private room,200,3,4,30/10/21,1.43,1,56
27857,45578810,Mesmerized Artist Penthouse (NYU 3 mins),369104627,An Ting,Manhattan,Greenwich Village,40.72962,-73.99337,Entire home/apt,420,1,9,01/11/21,1.13,3,364
27858,45578986,Furnished Alcove Studio,51501835,Jeniffer,Manhattan,Upper East Side,40.78225,-73.95408,Entire home/apt,100,30,0,,,177,340
27859,45579937,"Upper East Side Two Bedroom near Hospitals, Elevator Building",22541573,Ken,Manhattan,Upper East Side,40.77292,-73.94906,Entire home/apt,214,30,2,19/11/21,0.35,105,359
27860,45579970,Gramercy Alcove Studio with Private Balcony,22541573,Ken,Manhattan,Gramercy,40.73789,-73.98231,Entire home/apt,195,30,0,,,105,327
27861,45579985,Gramercy Park 1 Bedroom near Union Square with Private Balcony,22541573,Ken,Manhattan,Kips Bay,40.73958,-73.98243,Entire home/apt,244,30,0,,,105,351
27862,45580394,A Gem in Brooklyn,144683380,Ev,Brooklyn,East Flatbush,40.63761,-73.94399,Entire home/apt,171,2,43,12/10/21,5.24,1,277
27863,45580653,Lovely Private Room in Manhattan UWS,340101464,SharedEasy,Manhattan,Upper West Side,40.79601,-73.96417,Private room,65,30,3,11/07/21,1.0,3,322
27864,45581197,PRIME Location! Greenwich Village/West Village One Bedroom,22541573,Ken,Manhattan,West Village,40.73194,-74.01022,Entire home/apt,260,30,0,,,105,350
27865,45581228,"Beautiful Chelsea One Bedroom with Amenities, City Views",22541573,Ken,Manhattan,Chelsea,40.75155,-73.99377,Entire home/apt,221,30,0,,,105,338
27866,45581282,"One Bedroom in Peaceful Yorkville, Upper East Side",22541573,Ken,Manhattan,Upper East Side,40.77276,-73.94923,Entire home/apt,136,30,0,,,105,350
27867,45581317,Modern 1 Bedroom in Gramercy with Private Balcony,22541573,Ken,Manhattan,Gramercy,40.7379,-73.98276,Entire home/apt,265,30,0,,,105,315
27868,45581328,One Bedroom in Charming Downtown Neighborhood,22541573,Ken,Manhattan,Gramercy,40.73907,-73.98419,Entire home/apt,265,30,0,,,105,320
27869,45581490,The Happy Huron Hideaway Apt in NYC,63853,Mike,Brooklyn,Greenpoint,40.73219,-73.95382,Entire home/apt,100,30,0,,,1,0
27870,45582015,Stylish Room in All-inclusive Coliving | UWS,364867907,SharedEasy,Manhattan,Upper West Side,40.79409,-73.9632,Private room,60,40,0,,,2,283
27871,45582346,Modern apartment with Brooklyn charm,19834743,Riva,Brooklyn,Brooklyn Heights,40.69422,-73.99564,Entire home/apt,150,25,0,,,1,0
27872,45591267,Cozy Ornate BedStuy Floor Apartment,151574296,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68099,-73.91442,Entire home/apt,67,30,0,,,1,0
27873,45591312,Minimalistic 4BR Manhattan Apt->Central Park/Train,137358866,Kaz,Manhattan,East Harlem,40.79113,-73.94486,Entire home/apt,188,30,0,,,162,336
27874,45591558,"@FERRY, Private&Cozy Room, Renovated&Stylish.",117492425,Dine,Staten Island,St. George,40.6454,-74.08082,Private room,39,3,3,23/10/20,1.25,8,361
27875,45591853,138 Bowery-King Suite w. Living Room Space,51548122,Jeniffer,Manhattan,Lower East Side,40.72018,-73.99403,Entire home/apt,200,15,3,04/10/21,0.23,49,67
27876,45595112,138 Bowery-Classic Queen Studio,51548122,Jeniffer,Manhattan,Chinatown,40.71884,-73.99604,Entire home/apt,150,15,17,15/11/21,1.66,49,57
27877,45595421,"Brooklyn Home, 10-mins from Manhattan",51237731,Rosa,Brooklyn,Prospect Heights,40.67936,-73.97236,Entire home/apt,439,2,18,14/09/21,1.28,1,67
27878,45595551,UPPER EAST SIDE STUDIO NEAR CENTRAL PARK.,9293730,Inna,Manhattan,Upper East Side,40.769524,-73.956451,Entire home/apt,130,30,5,22/11/21,0.51,34,338
27879,45595850,Furnished Studio in a Brand New Building,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76733,-73.98794,Entire home/apt,125,30,4,16/10/21,0.79,177,345
27880,45597289,★☆Queens☆★ -Private  Bathroom,19303369,Hiroki,Queens,Jackson Heights,40.75226,-73.87841,Private room,40,30,2,01/11/21,0.92,142,0
27881,45598105,Furnished Apartment  in Bowery Street,51501835,Jeniffer,Manhattan,Lower East Side,40.7202,-73.99385,Entire home/apt,135,30,3,15/11/21,0.32,177,214
27882,45598232,Spacious 3BR Manhattan Apt! Near 6 Train n market.,137358866,Kaz,Manhattan,East Harlem,40.79471,-73.94191,Entire home/apt,143,30,0,,,162,334
27883,45599852,4BR C. Harlem Apt in Lenox Ave. Great Neighborhood,137358866,Kaz,Manhattan,Harlem,40.81246,-73.94413,Entire home/apt,185,30,0,,,162,354
27884,45602209,Private bathroom Good apartment in Jackson heights,204704622,Momoyo,Queens,Jackson Heights,40.75111,-73.87831,Private room,43,30,2,13/12/20,0.15,108,0
27885,45605511,"★★★★★ BUNDLE PACKAGE HELICOPTER RIDE, VILLA & LIMO",224210149,Prince,Manhattan,Kips Bay,40.74335,-73.97281,Entire home/apt,1575,3,0,,,1,365
27886,45605866,"Sunny Apt in Victorian Mansion in Ditmas Pk, Bklyn",325614009,Rita,Brooklyn,Flatbush,40.64221,-73.96357,Entire home/apt,150,2,37,29/11/21,17.34,1,144
27887,45609365,One Room One-der,20161085,Lloyd,Queens,Jamaica,40.68549,-73.76184,Private room,50,4,15,26/10/21,5.7,2,155
27888,45615242,Private Room in Renovated Home in Hell's Kitchen,305240193,June,Manhattan,Hell's Kitchen,40.75919,-73.98899,Private room,73,30,0,,,421,279
27889,45617330,Homey Lenox Ave Rooms 4mins walk to 134 St Station,137358866,Kaz,Manhattan,Harlem,40.81147,-73.94409,Entire home/apt,145,30,0,,,162,249
27890,45617359,Furnished Room in the Heart of Upper West Side,305240193,June,Manhattan,Upper West Side,40.80065,-73.9632,Private room,70,30,0,,,421,279
27891,45617541,Cozy 1 bedroom apt in Awesome Astoria,16828535,Arben,Queens,Ditmars Steinway,40.7772,-73.90747,Entire home/apt,100,2,0,,,1,0
27892,45618440,"Large, Open and Bright One Bedroom",5444974,Van,Brooklyn,South Slope,40.66566,-73.98009,Entire home/apt,183,5,1,09/05/21,0.14,1,214
27893,45618731,Studio in Riverdale w/ optional backyard for a fee,61587120,Lynsey,Bronx,Kingsbridge,40.88377,-73.90352,Entire home/apt,125,1,46,28/11/21,7.3,1,125
27894,45620972,Dreamy Brooklyn Brownstone,221878486,Kristina,Brooklyn,Clinton Hill,40.69375,-73.96597,Entire home/apt,320,30,0,,,1,0
27895,45621895,Cozy neighborhood Subway M/R<2min> & 7 Line<5min>,334163301,Soya,Queens,Woodside,40.7481,-73.89825,Private room,35,30,1,01/09/21,0.31,160,54
27896,45622013,65st (M/R) 2minutes walk from station,19303369,Hiroki,Queens,Woodside,40.74585,-73.89837,Private room,34,30,0,,,142,54
27897,45622205,Cozy Nook Minutes away from major JFK/LGA airport,154385604,Michael,Queens,Richmond Hill,40.7037,-73.82797,Entire home/apt,149,7,9,31/10/21,1.73,4,69
27898,45623624,Bright room in East Williamsburg,2543955,Héctor,Brooklyn,Williamsburg,40.70284,-73.93617,Private room,59,4,9,26/09/21,0.87,1,58
27899,45626554,New 4BR 2nd Flr Manhattan Apartment near 6 Train,137358866,Kaz,Manhattan,Harlem,40.81129,-73.94202,Entire home/apt,187,30,0,,,162,317
27900,45630787,Greenwich Village Perfection,159457,Adrianna,Manhattan,Greenwich Village,40.734,-73.99609,Entire home/apt,606,31,1,11/07/21,0.2,3,282
27901,45631504,Sunlit Downtown Manhattan Dream Appartment,339533124,John,Manhattan,Lower East Side,40.72164,-73.99053,Entire home/apt,70,10,0,,,1,0
27902,45631529,New Year’s Eve Get Away,341515596,Sandrea,Manhattan,Midtown,40.75372,-73.97175,Private room,300,3,0,,,1,0
27903,45631931,Moka's Get A Way,258856587,Moka,Bronx,Mott Haven,40.81159,-73.90496,Entire home/apt,95,1,14,21/11/21,5.38,1,220
27904,45633489,Small room w/ private 1/2 bath in park facing apt!,19476689,Laura,Brooklyn,Prospect-Lefferts Gardens,40.66191,-73.9618,Private room,40,30,0,,,1,0
27905,45633763,Cozy One-Bedroom - Bronx,43431319,Ryan,Bronx,Highbridge,40.83816,-73.92401,Entire home/apt,43,30,2,08/06/21,0.22,1,0
27906,45634265,Charming Cobble Hill/Brooklyn Heights Apartment,11699652,Ed,Brooklyn,Cobble Hill,40.68926,-73.99463,Entire home/apt,165,3,53,28/11/21,3.73,1,149
27907,45635739,Charming Studio in Chelsea,273568164,Laura,Manhattan,West Village,40.73971,-74.00342,Entire home/apt,149,30,2,02/11/21,0.62,1,62
27908,45638455,Spread Luv the Brooklyn Way!,77050010,Crystal,Brooklyn,Flatlands,40.62328,-73.93486,Entire home/apt,80,2,8,09/04/21,0.7,1,0
27909,45640236,Cozy room in the heart of Williamsburg,45163818,Tracy,Brooklyn,Williamsburg,40.72004,-73.95757,Private room,140,1,7,28/11/21,0.97,1,163
27910,45640535,Casual 4BR Apartment Near Columbia & Apollo Theater,137358866,Kaz,Manhattan,Harlem,40.81797,-73.94282,Entire home/apt,185,30,0,,,162,231
27911,45642113,Room 4,244817841,Aminul,Brooklyn,East New York,40.66953,-73.89574,Private room,39,30,0,,,9,344
27912,45649052,Comfortable & Modern 2 BR in the Heart of Chelsea,51905501,Stanislas,Manhattan,Chelsea,40.74341,-74.00134,Entire home/apt,145,1,9,01/11/21,1.1,1,9
27913,45649223,138 Bowery-Studio Suite w. Dining Area,51548122,Jeniffer,Manhattan,Lower East Side,40.72019,-73.99391,Private room,200,15,4,24/10/21,0.3,49,57
27914,45650616,✰ LOCATION | LOCATION | LOCATION ✰,369817284,Sara,Manhattan,Gramercy,40.73817,-73.98229,Entire home/apt,185,30,4,30/11/21,3.33,4,323
27915,45652061,Urban oasis in the park,28815081,Nina,Brooklyn,Bedford-Stuyvesant,40.68937,-73.94824,Entire home/apt,450,3,21,24/11/21,3.56,1,332
27916,45652552,Brand New1BRPH Duplex~W/D in unit~Private outdoor,162280872,Eran,Manhattan,Upper East Side,40.77553,-73.94758,Entire home/apt,150,30,2,31/08/21,0.18,56,324
27917,45652742,Lovely paradise,131993336,David,Queens,Forest Hills,40.71809,-73.85056,Entire home/apt,105,1,46,22/11/21,16.24,1,248
27918,45653546,Private and Unique NYC Apartment,142525342,Yasi,Manhattan,Harlem,40.83052,-73.94566,Entire home/apt,98,4,0,,,1,0
27919,45654492,Majestic Royal Palace,21452140,Shatandra,Brooklyn,Williamsburg,40.71394,-73.95442,Entire home/apt,300,2,34,05/11/21,14.37,3,70
27920,45654509,10 minutes to Manhattan. near the station,334163301,Soya,Queens,Sunnyside,40.73971,-73.9277,Private room,40,30,1,05/09/21,0.33,160,58
27921,45654763,★☆Sunnysid☆★ -Locals' favorite neighbor for living,19303369,Hiroki,Queens,Sunnyside,40.73775,-73.92609,Private room,32,30,2,31/07/21,0.23,142,0
27922,45655471,Room in Brooklyn house,334799124,Raisat,Brooklyn,Gravesend,40.58982,-73.97227,Private room,50,1,0,,,2,0
27923,45655795,"Close to Times Square, LIRR, M , R and 7 Trains",158407820,Omar,Queens,Woodside,40.75248,-73.90077,Private room,72,2,24,01/12/21,5.67,6,358
27924,45656086,Studio at Oakwood Residences Midtown East,369226179,Oakwood,Manhattan,Murray Hill,40.7476,-73.97714,Entire home/apt,150,30,7,29/08/21,1.78,2,291
27925,45656267,One-Bedroom at Oakwood Residence Midtown East,369226179,Oakwood,Manhattan,Murray Hill,40.7476,-73.97714,Entire home/apt,165,30,20,27/11/21,2.74,2,301
27926,45656925,Prime Bushwick Room w a Rooftop & friendly Dog,185446,Bianca,Brooklyn,Bushwick,40.7001,-73.92957,Private room,100,3,30,24/11/21,4.76,1,67
27927,45658557,La Sienna Private Room with Lock in a Prewar Bldng,1171497,Yvette,Manhattan,Harlem,40.8079,-73.95012,Private room,92,5,20,10/09/21,4.05,7,60
27928,45659035,Woodside cozy one bedroom,1676172,Cyril,Queens,Woodside,40.75565,-73.90706,Entire home/apt,61,30,3,19/12/20,0.24,1,211
27929,45659431,Entire Large 2 Bedroom - Crown Heights,221623897,Matt,Brooklyn,Crown Heights,40.6739,-73.94746,Entire home/apt,60,10,0,,,1,0
27930,45661953,Convenient Brooklyn room close to Downtown Manhattan!,137358866,Kaz,Brooklyn,Bushwick,40.69232,-73.91344,Private room,49,30,0,,,162,248
27931,45662865,Casual Chic 4BR Astoria House->sta+market,137358866,Kaz,Queens,Astoria,40.76665,-73.92424,Entire home/apt,242,30,0,,,162,292
27932,45668457,"2BR2BA apartment, Room with PRIVATE bathroom",200239515,Shogo,Queens,Elmhurst,40.74072,-73.87585,Private room,39,30,0,,,110,0
27933,45669937,Urban Modern Oasis,145399240,Adel,Brooklyn,Crown Heights,40.66656,-73.93349,Private room,50,1,0,,,1,0
27934,45670010,Apt in Hell’s Kitchen,74178500,Jose,Manhattan,Hell's Kitchen,40.76648,-73.99317,Entire home/apt,150,5,5,17/04/21,0.36,1,0
27935,45670897,A well sanitized cozy space for your relaxation,369994560,Pascal,Queens,Hollis,40.71093,-73.77618,Entire home/apt,160,1,2,30/10/21,0.83,1,365
27936,45671726,1 bedroom Apt near MSK,9419684,Churchill,Manhattan,Upper East Side,40.76325,-73.9595,Entire home/apt,245,30,0,,,44,180
27937,45671894,Luxury Greenpoint Waterfront Studio,240480084,Brittany,Brooklyn,Greenpoint,40.72626,-73.95905,Entire home/apt,179,5,8,10/11/21,2.73,1,139
27938,45672204,**FULLY FURNISHED 1 BEDROOM APARTMENT NYC**,198716390,Vlad,Manhattan,Chelsea,40.74756,-73.99064,Entire home/apt,200,15,3,25/05/21,0.76,1,0
27939,45672270,Heart of Chinatown 1 bedroom/ near Brooklyn Bridge,328977827,Rachel,Manhattan,Chinatown,40.71451,-73.99642,Entire home/apt,60,30,0,,,1,0
27940,45672993,"Perfect bedroom, by Lincoln Center! Manhattan NYC!",329310230,Louis,Manhattan,Upper West Side,40.77395,-73.98416,Private room,99,25,14,12/09/21,5.6,3,61
27941,45673206,Warm& Cozy Home,69683180,Shuhua,Manhattan,Hell's Kitchen,40.76031,-73.99845,Private room,120,30,0,,,2,0
27942,45673305,PRIME Location:2min Subway 1min LIRR & NEWLY Built,200239515,Shogo,Queens,Woodside,40.74274,-73.90262,Private room,39,30,0,,,110,32
27943,45673446,HOME SWEETIE HOME,370019723,Paola,Queens,Kew Gardens Hills,40.73074,-73.82219,Private room,104,3,0,,,1,353
27944,45673594,Small Reasonable stay in NYC 3min Subway Grand Ave,200239515,Shogo,Queens,Elmhurst,40.7393,-73.87557,Private room,32,30,0,,,110,58
27945,45673661,Fabulous Bedroom in Manhattan NYC! Lincoln Center!,329310230,Louis,Manhattan,Upper West Side,40.77315,-73.98652,Private room,95,25,2,01/10/21,0.16,3,25
27946,45673797,"Subway M/R line""Grand Ave-Newtown"" station. 3 min",200239515,Shogo,Queens,Elmhurst,40.74043,-73.87716,Private room,38,30,0,,,110,44
27947,45673803,Central Park Lovely Spacious Room,350196525,Jo,Manhattan,Upper East Side,40.77364,-73.95511,Private room,91,1,39,17/11/21,14.81,1,311
27948,45674595,CONVENIENT LOCATION TO SIUH & RUMC MIN WALK 2TRAIN,241676154,Maria,Staten Island,Grant City,40.57811,-74.11,Private room,35,30,1,15/08/21,0.27,10,136
27949,45675055,A Home Away From Home,370035324,Lattie,Brooklyn,East New York,40.66269,-73.88908,Private room,58,3,14,13/11/21,1.65,9,365
27950,45682803,Designer One Bedroom with Nursery + Rooftop Garden,73435830,Alexandra,Manhattan,East Village,40.73144,-73.98649,Entire home/apt,300,30,6,31/07/21,0.43,1,63
27951,45685520,Skyline 1BR with 600sq ft Private Terrace - LES,15536301,Joe,Manhattan,Lower East Side,40.71991,-73.98318,Entire home/apt,195,30,1,14/03/21,0.11,1,102
27952,45686011,Fashionable Brownstone Apartment (Columbus Circle),157241,Colin And Bryn,Manhattan,Midtown,40.76465,-73.98306,Entire home/apt,200,4,16,27/11/21,1.55,1,19
27953,45687094,Beautiful Studio on Upper West Side,52264713,Lindsey,Manhattan,Morningside Heights,40.81031,-73.95733,Entire home/apt,168,30,0,,,1,268
27954,45688140,Entire Luxury Studio Apartment,6187202,Ally,Queens,Long Island City,40.74247,-73.95816,Entire home/apt,66,33,1,28/02/21,0.11,1,0
27955,45688162,Spacious Artsy Home in Manhattan,325936068,Cristian,Manhattan,Harlem,40.83027,-73.94156,Private room,49,3,0,,,1,0
27956,45688536,Sonder | Battery Park | One-Bedroom Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.70617,-74.01482,Entire home/apt,496,2,15,02/10/21,2.0,49,294
27957,45688889,Sonder | Battery Park | Two-Bedroom Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.70446,-74.01582,Entire home/apt,617,2,63,13/11/21,6.06,49,299
27958,45689074,"Beautiful, bright Room in exquisite apartment",2224337,Juan,Queens,Ridgewood,40.70261,-73.90288,Private room,100,10,0,,,1,18
27959,45689156,Cozy Professionally Managed Studio on the Upper West Side,22541573,Ken,Manhattan,Upper West Side,40.78067,-73.98099,Entire home/apt,152,30,0,,,105,324
27960,45689161,Upper West Side Studio near Central Park/Riverside Park,22541573,Ken,Manhattan,Upper West Side,40.7804,-73.97896,Entire home/apt,150,30,3,11/07/21,0.27,105,266
27961,45689193,"Upper East Side One Bedroom near Subways, Museums, Central Park",22541573,Ken,Manhattan,Upper East Side,40.7699,-73.95701,Entire home/apt,147,30,0,,,105,331
27962,45689218,"Upper East Side One Bedroom near Central Park, Museums, Subways",22541573,Ken,Manhattan,Upper East Side,40.76949,-73.95883,Entire home/apt,149,30,1,18/07/21,0.21,105,359
27963,45689225,"Upper East Side One Bedroom near Central Park, Shopping, Museums",22541573,Ken,Manhattan,Upper East Side,40.77097,-73.95749,Entire home/apt,158,30,0,,,105,282
27964,45689247,"Upper East Side One Bedroom near Museums, Subways",22541573,Ken,Manhattan,Upper East Side,40.76993,-73.95924,Entire home/apt,165,30,0,,,105,315
27965,45689270,"UES One Bedroom near Subways, Shopping, Museums, Central Park",22541573,Ken,Manhattan,Upper East Side,40.77121,-73.95786,Entire home/apt,136,30,2,04/03/21,0.34,105,343
27966,45689278,UES Two Bedroom Duplex with Private Deck!,22541573,Ken,Manhattan,Upper East Side,40.76921,-73.95862,Entire home/apt,228,30,0,,,105,331
27967,45689285,Quaint UES One Bedroom Apartment,22541573,Ken,Manhattan,Upper East Side,40.76906,-73.95746,Entire home/apt,152,30,0,,,105,358
27968,45689293,Pet-Friendly Upper East Side One Bedroom,22541573,Ken,Manhattan,Upper East Side,40.77047,-73.95707,Entire home/apt,147,30,1,15/11/21,1.0,105,345
27969,45689456,Sun-lit Brownstone Loft,26219578,Zoe,Brooklyn,Bedford-Stuyvesant,40.68867,-73.94428,Private room,34,21,0,,,1,0
27970,45690330,Home by Sunny & Bay!  Sunset Park & Bayridge!,358089614,Joshua,Brooklyn,Sunset Park,40.63827,-74.0164,Private room,60,1,17,28/11/21,1.91,1,344
27971,45690917,Luxury relaxing room in Brooklyn,351701484,John,Brooklyn,Bedford-Stuyvesant,40.68578,-73.91834,Private room,55,2,1,22/11/21,1.0,2,164
27972,45691383,138 Bowery-Classic Queen Studio,51548122,Jeniffer,Manhattan,Lower East Side,40.72034,-73.99387,Entire home/apt,145,15,10,28/05/21,2.91,49,61
27973,45694688,Gym-equipped Garden Oasis Bklyn Triplex Brownstone,24999007,Caroline,Brooklyn,Bedford-Stuyvesant,40.69142,-73.93732,Entire home/apt,125,2,10,06/09/21,0.9,2,15
27974,45695403,Bright Room in Hell's Kitchen,305240193,June,Manhattan,Hell's Kitchen,40.76284,-73.99253,Private room,62,30,0,,,421,364
27975,45696082,Spacious Lower East Side Bed,305240193,June,Manhattan,Chinatown,40.71548,-73.99504,Private room,62,30,0,,,421,331
27976,45696410,Modern Bedstuy Apartment,72861076,Thomas,Brooklyn,Bedford-Stuyvesant,40.68341,-73.92925,Private room,35,22,0,,,1,0
27977,45696799,Cozy neighborhood Subway M/R<2min> & 7 Line<5min>,204704622,Momoyo,Queens,Woodside,40.74621,-73.89918,Private room,25,30,2,30/11/20,0.15,108,0
27978,45696854,Highly Refined Zen Pristine Elegance in New York,335076875,Christina,Queens,Ditmars Steinway,40.78126,-73.91379,Entire home/apt,375,15,1,31/08/21,0.31,1,103
27979,45697372,138 Bowery-King Suite w. Living Room Space,51548122,Jeniffer,Manhattan,Lower East Side,40.71844,-73.99383,Entire home/apt,200,15,12,15/08/21,2.21,49,63
27980,45697674,Sonder | Battery Park | Three-Bedroom Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.70441,-74.01475,Entire home/apt,733,2,26,08/09/21,26.0,49,115
27981,45697850,138 Bowery-Studio Suite w. Dining Area,51548122,Jeniffer,Manhattan,Lower East Side,40.71959,-73.9939,Entire home/apt,196,15,5,25/10/21,1.42,49,56
27982,45697861,Furnished 1 bedroom apartment in Midtown,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76344,-73.98946,Entire home/apt,100,30,4,31/10/21,0.6,177,206
27983,45698496,Sunlit room with private bathroom and fire escape,154995528,Gabriele,Brooklyn,Williamsburg,40.70988,-73.94547,Private room,89,6,5,16/11/21,0.64,1,55
27984,45698590,Penthouse on the hilltop,80470317,Sergey,Staten Island,Clifton,40.6237,-74.07517,Entire home/apt,145,1,15,30/08/21,11.25,3,325
27985,45698737,Club Wyndham Midtown 45 NYC 1BR Condo,225597185,Alan,Manhattan,Midtown,40.75365,-73.97192,Entire home/apt,450,3,12,01/10/21,1.4,1,68
27986,45698750,Sonder | Battery Park | Extended Stay Three-Bedroom Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.70493,-74.0164,Entire home/apt,532,29,0,,,49,319
27987,45698974,Beautiful 1 Bedroom Apartment in Little Italy,51501835,Jeniffer,Manhattan,Chinatown,40.7181,-73.99407,Entire home/apt,140,30,2,31/10/21,0.27,177,249
27988,45699931,Private/Luxurious/Fully Furnished Tribeca Loft,245167739,James,Manhattan,Tribeca,40.71972,-74.00282,Entire home/apt,1000,30,0,,,1,321
27989,45701055,Newly Renovated Apartment in Midtown East,54480397,Daniel,Manhattan,Midtown,40.75594,-73.96911,Entire home/apt,229,3,32,14/11/21,32.0,1,4
27990,45701998,Bohemian Jungle with Private Bathroom & Rooftop,4522418,Brooke & Jonathan,Brooklyn,Bedford-Stuyvesant,40.68488,-73.91566,Private room,168,3,18,23/11/21,3.35,1,344
27991,45703289,Luxury Modern Brooklyn Townhouse,210294,Lauren,Brooklyn,Crown Heights,40.67937,-73.964,Entire home/apt,708,7,7,13/09/21,0.56,1,337
27992,45703512,Cool 4BR House in Prime location! ->LIC & Midtown,137358866,Kaz,Queens,Sunnyside,40.74823,-73.91943,Entire home/apt,212,30,0,,,162,85
27993,45703975,Lovely 4BR Sunnyside House w/ Two Bathrooms,137358866,Kaz,Queens,Sunnyside,40.73701,-73.92198,Entire home/apt,206,30,0,,,162,187
27994,45705785,Chateau Estate in New York City,61292179,Roni,Bronx,Riverdale,40.89802,-73.91187,Entire home/apt,2000,10,0,,,1,173
27995,45708866,Cozy private room in heart of Bay Ridge,83652071,Marina,Brooklyn,Bay Ridge,40.62627,-74.03046,Private room,85,1,0,,,1,355
27996,45709382,Easy access to Manhattan : Nice Condition room,334163301,Soya,Queens,Jackson Heights,40.75077,-73.87835,Private room,32,30,0,,,160,0
27997,45709979,🌼☀️Self Isolate in STUNNING Sun Drenched Brownstone,244473721,Pam,Brooklyn,Bedford-Stuyvesant,40.68407,-73.94745,Entire home/apt,154,30,6,31/05/21,2.69,3,79
27998,45710149,Cozy Newly Renovted 2br house 5mins away from JFK,370442577,Darryl,Queens,Jamaica,40.6735,-73.76873,Entire home/apt,271,1,5,15/08/21,0.57,1,90
