id,geom,amenities_500,subway_500,natural_500
27527506,"40.74783,-73.89976",23.0,0,0
27542205,"40.72631,-73.95375",53.0,0,1
27544905,"40.72139,-73.942",19.0,0,0
27567414,"40.68292,-73.97511",55.0,3,1
27569729,"40.80408,-73.95311",46.0,0,1
27574050,"40.78679,-73.97273",85.0,0,0
27583185,"40.81764,-73.9441",12.0,0,0
27583483,"40.77361,-73.94499",15.0,0,4
27585318,"40.73877,-73.87713",36.0,0,0
27602003,"40.59537,-73.7889",0.0,0,0
27603505,"40.65666,-73.95915",10.0,2,1
27606552,"40.71224,-73.93976",23.0,0,0
27609929,"40.7339,-74.00713",91.0,1,2
27610367,"40.65272,-73.72614",0.0,0,3
27651236,"40.67128,-73.95493",34.0,1,0
27654819,"40.65103,-73.93378",0.0,0,0
27674973,"40.7444,-73.90805",19.0,0,0
27678632,"40.80526,-73.96658",41.0,0,3
27696888,"40.68614,-73.97589",44.0,3,0
27702778,"40.72122,-73.91312",2.0,0,0
27731372,"40.73412,-73.98529",97.0,0,2
27733195,"40.82401,-73.94613",19.0,0,0
27734596,"40.72306,-73.99689",142.0,0,1
27807645,"40.71633,-73.94",23.0,0,0
27809602,"40.77927,-73.95195",121.0,0,0
27810880,"40.73546,-74.00174",125.0,2,2
27829177,"40.63058,-74.01451",8.0,1,0
27830452,"40.66144,-73.95336",7.0,0,0
27831763,"40.68155,-73.93504",19.0,0,0
27840206,"40.71967,-73.91307",2.0,0,0
27852611,"40.74548,-73.9983",93.0,1,0
27854483,"40.73325,-73.87611",12.0,0,0
27875571,"40.71341,-73.96064",90.0,0,0
27905233,"40.72302,-73.94778",42.0,0,0
27906951,"40.70078,-73.92889",45.0,1,0
27909345,"40.80971,-73.92542",3.0,0,1
27922561,"40.76117,-73.99376",125.0,1,1
27926695,"40.78375,-73.97347",71.0,0,2
27953534,"40.68002,-73.88277",6.0,0,0
27965166,"40.73756,-73.92176",10.0,0,0
27965586,"40.81331,-73.95007",13.0,0,0
27981955,"40.79913,-73.93895",21.0,0,0
27986922,"40.69218,-73.93944",5.0,0,0
27988316,"40.72974,-73.98445",151.0,0,3
28011483,"40.79799,-73.94141",25.0,0,0
28012756,"40.70352,-73.93342",27.0,1,0
28042224,"40.765057,-73.989037",135.0,1,2
28067870,"40.69172,-73.94304",3.0,0,0
28070872,"40.75863,-73.86342",12.0,0,0
28081224,"40.82232,-73.94303",9.0,0,0
28082234,"40.69526,-73.93564",9.0,1,1
28085121,"40.63629,-74.07918",11.0,1,0
28096425,"40.67377,-73.94034",2.0,0,0
28100549,"40.678,-73.92298",1.0,0,0
28102752,"40.69583,-73.92958",17.0,1,1
28108524,"40.68817,-73.96676",26.0,0,0
28108773,"40.78061,-73.97527",69.0,0,3
28121595,"40.57552,-74.09086",0.0,0,10
28125293,"40.76764,-73.98427",123.0,1,2
28126356,"40.64732,-73.96215",3.0,3,0
28130502,"40.73377,-73.99252",94.0,0,1
28131704,"40.70066,-73.92708",42.0,1,0
28132020,"40.75824,-73.96368",72.0,0,1
28132057,"40.75697,-73.96508",73.0,1,2
28132121,"40.75864,-73.96528",91.0,1,2
28132190,"40.7159,-74.0085",79.0,2,5
28132224,"40.75729,-73.96349",59.0,0,1
28132251,"40.757,-73.96424",61.0,0,1
28132293,"40.75735,-73.96555",81.0,1,2
28132314,"40.7568,-73.9648",66.0,0,1
28133596,"40.72616,-74.00491",141.0,0,1
28135545,"40.72031,-73.98488",123.0,1,2
28164678,"40.86222,-73.9286",11.0,2,1
28177443,"40.72883,-73.98753",176.0,0,1
28180748,"40.72762,-73.98601",167.0,0,2
28185576,"40.77443,-73.91462",24.0,0,0
28208166,"40.77675,-73.98136",48.0,2,3
28223771,"40.70642049,-73.88141406",2.0,0,0
28224871,"40.83969,-73.93861",3.0,1,1
28268629,"40.72204015,-73.72277233",0.0,0,0
28277122,"40.64045,-73.88231",0.0,0,0
28360654,"40.76389,-73.98873",176.0,1,2
28366887,"40.68048,-73.79305",1.0,0,0
28430103,"40.67056,-73.93608",4.0,0,0
28432725,"40.73032,-73.98995",154.0,0,1
28436441,"40.76984,-73.91134",24.0,0,0
28438576,"40.6985,-73.92568",30.0,1,0
28450441,"40.79699,-73.9632",42.0,0,1
28487536,"40.6932,-73.94846",6.0,0,0
28510946,"40.81483,-73.93921",9.0,0,1
28518077,"40.84398,-73.93749",10.0,1,1
28520096,"40.74383,-73.97374",57.0,0,1
28561195,"40.69686,-73.99636",23.0,0,6
28581130,"40.70438,-73.93654",21.0,1,1
28610383,"40.828121,-73.946968",25.0,0,1
